year,best_of,player_ht,player_age,player_rank,player_rank_points,opponent_ht,opponent_age,opponent_rank,opponent_rank_points,label,month,rank_diff,age_diff,height_diff,rank_points_diff,player_is_left,opponent_is_left,rounds_remaining,surface_Clay,surface_Grass,tourney_level_A,tourney_level_F,tourney_level_G,tourney_level_M,tourney_level_O
2013,3,203.0,26.6,36.0,1065.0,185.0,31.0,35.0,1075.0,1,1,1.0,-4.399999999999999,18.0,-10.0,0,0,2,False,False,True,False,False,False,False
2013,3,185.0,31.0,35.0,1075.0,203.0,26.6,36.0,1065.0,0,1,-1.0,4.399999999999999,-18.0,10.0,0,0,2,False,False,True,False,False,False,False
2013,3,196.0,20.2,64.0,740.0,190.0,28.8,23.0,1560.0,1,1,41.0,-8.600000000000001,6.0,-820.0,0,0,2,False,False,True,False,False,False,False
2013,3,190.0,28.8,23.0,1560.0,196.0,20.2,64.0,740.0,0,1,-41.0,8.600000000000001,-6.0,820.0,0,0,2,False,False,True,False,False,False,False
2013,3,196.0,20.2,64.0,740.0,203.0,26.6,36.0,1065.0,1,1,28.0,-6.400000000000002,-7.0,-325.0,0,0,1,False,False,True,False,False,False,False
2013,3,203.0,26.6,36.0,1065.0,196.0,20.2,64.0,740.0,0,1,-28.0,6.400000000000002,7.0,325.0,0,0,1,False,False,True,False,False,False,False
2013,5,188.0,25.6,1.0,12920.0,185.0,31.0,60.0,763.0,1,1,-59.0,-5.399999999999999,3.0,12157.0,0,0,7,False,False,False,False,True,False,False
2013,5,185.0,31.0,60.0,763.0,188.0,25.6,1.0,12920.0,0,1,59.0,5.399999999999999,-3.0,-12157.0,0,0,7,False,False,False,False,True,False,False
2013,5,185.0,20.6,62.0,754.0,188.0,25.1,64.0,743.0,1,1,-2.0,-4.5,-3.0,11.0,0,0,7,False,False,False,False,True,False,False
2013,5,188.0,25.1,64.0,743.0,185.0,20.6,62.0,754.0,0,1,2.0,4.5,3.0,-11.0,0,0,7,False,False,False,False,True,False,False
2013,5,188.0,31.3,42.0,1005.0,183.0,27.8,198.0,241.0,1,1,-156.0,3.5,5.0,764.0,1,1,7,False,False,False,False,True,False,False
2013,5,183.0,27.8,198.0,241.0,188.0,31.3,42.0,1005.0,0,1,156.0,-3.5,-5.0,-764.0,1,1,7,False,False,False,False,True,False,False
2013,5,185.0,34.1,34.0,1090.0,193.0,26.9,37.0,1030.0,1,1,-3.0,7.200000000000003,-8.0,60.0,0,0,7,False,False,False,False,True,False,False
2013,5,193.0,26.9,37.0,1030.0,185.0,34.1,34.0,1090.0,0,1,3.0,-7.200000000000003,8.0,-60.0,0,0,7,False,False,False,False,True,False,False
2013,5,198.0,25.2,22.0,1650.0,178.0,30.9,174.0,305.0,1,1,-152.0,-5.699999999999999,20.0,1345.0,0,1,7,False,False,False,False,True,False,False
2013,5,178.0,30.9,174.0,305.0,198.0,25.2,22.0,1650.0,0,1,152.0,5.699999999999999,-20.0,-1345.0,1,0,7,False,False,False,False,True,False,False
2013,5,190.0,27.7,57.0,776.0,178.0,29.7,133.0,422.0,1,1,-76.0,-2.0,12.0,354.0,0,0,7,False,False,False,False,True,False,False
